表4-1  科系別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,BCODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
97,0008,國立中央大學,N,M,340318,管理學院高階主管企管碩士班,141,116,25,50,15,49,8,10,,5,2,,,,,,,2,
97,0008,國立中央大學,N,M,340301,企業管理學系碩士在職專班,87,49,38,9,13,14,14,18,7,6,3,,,,,,,2,1
97,0008,國立中央大學,N,M,480109,資訊管理學系碩士在職專班,61,49,12,21,7,25,5,2,,1,,,,,,,,,
97,0008,國立中央大學,N,M,310104,產業經濟研究所碩士在職專班,70,35,35,12,15,14,8,5,9,2,3,,,,,,,2,
97,0008,國立中央大學,N,M,349906,工業管理研究所碩士在職專班,69,53,16,23,6,21,9,4,,4,1,,,,,,,1,
97,0008,國立中央大學,N,M,349919,人力資源管理研究所碩士在職專班,63,23,40,8,23,11,15,3,2,,,,,,,,,1,
97,0008,國立中央大學,N,M,340501,財務金融學系碩士在職專班,62,30,32,13,16,14,14,3,,,1,,,,,,,,1
97,0008,國立中央大學,N,M,520101,電機工程學系碩士在職專班,99,92,7,30,,25,2,21,4,16,1,,,,,,,,
97,0008,國立中央大學,N,M,520114,資訊工程學系碩士在職專班,98,83,15,28,5,18,2,18,5,13,2,,,,,,,6,1
97,0008,國立中央大學,N,M,520126,通訊工程學系碩士在職專班,95,91,4,17,3,29,1,23,,18,,,,,,,,4,
97,0008,國立中央大學,N,M,310403,客家研究碩士在職專班,68,29,39,10,21,14,12,5,6,,,,,,,,,,
97,0008,國立中央大學,D,D,SUBT4,博士班           共計,1538,1225,313,239,66,258,54,196,46,179,46,169,51,99,20,85,30,0,0
97,0008,國立中央大學,D,D,220201,中國文學系博士班,55,22,33,4,4,5,3,5,6,2,7,4,6,1,3,1,4,,
97,0008,國立中央大學,D,D,221101,哲學研究所博士班,50,23,27,3,6,6,5,6,4,2,3,1,5,3,1,2,3,,
97,0008,國立中央大學,D,D,140111,學習與教學研究所博士班,12,4,8,3,5,1,3,,,,,,,,,,,,
97,0008,國立中央大學,D,D,460101,數學系博士班,27,23,4,5,2,7,,5,,3,1,3,,,,,1,,
