表4-1  科系別學生人數統計(依據103/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
103,8,國立中央大學,D,碩士班,310510,    認知神經科學研究所碩士班,16,4,12,0,5,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,420604,    系統生物與生物資訊研究所碩士班,22,18,4,9,2,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,碩士班,521108,    生物醫學工程研究所碩士班,36,26,10,10,6,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,9,SUBT5,產業研發碩士專班           共計,7,5,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,520188,    光電科學與工程學系光電產業碩士專班,7,5,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,3,SUBT3,碩士在職專班           共計,1327,901,426,335,163,304,162,109,64,78,22,75,15,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,220201,    中國文學系碩士在職專班,16,1,15,0,0,0,0,1,11,0,3,0,1,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,221101,    哲學研究所碩士在職專班,40,15,25,6,9,1,9,4,2,2,4,2,1,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,220901,    歷史研究所碩士在職專班,58,28,30,8,10,7,7,8,10,2,1,3,2,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,520106,    光電科學與工程學系碩士在職專班,57,51,6,25,3,12,2,6,1,4,0,4,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,520301,    土木工程學系碩士在職專班,59,53,6,24,2,21,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,V,碩士在職專班,520201,    機械工程學系碩士在職專班,98,94,4,25,1,25,2,17,0,21,0,6,1,0,0,0,0,0,0,0,0
