1131(依據113/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
113,8,國立中央大學,D,M,1257,    法律與政府研究所碩士班,60,29,31,9,8,7,10,9,7,4,6,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,15844,    客家語文暨社會科學學系客家社會及政策碩士班,32,8,24,3,7,2,4,0,7,3,6,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,9938,    客家語文暨社會科學學系客家語文碩士班,16,4,12,0,5,1,3,2,2,1,2,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1179,    生命科學系碩士班,63,31,32,12,15,11,9,6,8,2,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,1180,    認知神經科學研究所碩士班,29,6,23,2,5,4,8,0,5,0,5,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,10238,    生醫科學與工程學系系統生物與生物資訊碩士班,34,17,17,7,7,4,6,5,3,1,1,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,10237,    生醫科學與工程學系生物醫學工程碩士班,49,37,12,23,2,10,9,3,1,1,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,16321,    永續去碳科技碩士學位學程,18,14,4,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,16322,    永續綠能科技碩士學位學程,16,12,4,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,D,M,16323,    永續領導力碩士學位學程,20,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,8,國立中央大學,V,3,SUBT3,碩士在職專班           共計,1485,901,584,330,222,301,229,126,73,86,40,57,20,1,0,0,0,0,0,58,20
113,8,國立中央大學,V,M,1156,    哲學研究所碩士在職專班,47,16,31,7,7,3,8,3,8,2,6,1,2,0,0,0,0,0,0,1,2
113,8,國立中央大學,V,M,1158,    歷史研究所碩士在職專班,46,29,17,7,6,10,2,5,3,4,5,3,1,0,0,0,0,0,0,3,1
113,8,國立中央大學,V,M,5469,    光電科學與工程學系碩士在職專班,46,39,7,15,2,6,2,12,1,2,0,4,2,0,0,0,0,0,0,4,2
113,8,國立中央大學,V,M,1189,    土木工程學系碩士在職專班,69,54,15,18,10,22,5,8,0,2,0,4,0,0,0,0,0,0,0,4,0
113,8,國立中央大學,V,M,1193,    機械工程學系碩士在職專班,112,98,14,29,4,24,5,22,2,17,1,6,2,0,0,0,0,0,0,6,2
113,8,國立中央大學,V,M,1196,    環境工程研究所碩士在職專班,74,59,15,18,4,15,6,9,2,4,2,13,1,0,0,0,0,0,0,13,1
113,8,國立中央大學,V,M,14904,    土木工程學系營建管理碩士在職專班,39,24,15,9,6,9,6,3,2,1,1,2,0,0,0,0,0,0,0,2,0
113,8,國立中央大學,V,M,5479,    管理學院高階主管企管碩士班,158,118,40,60,17,51,22,0,0,4,0,2,1,1,0,0,0,0,0,3,1
113,8,國立中央大學,V,M,1208,    企業管理學系碩士在職專班,74,26,48,10,17,8,15,2,10,4,4,2,2,0,0,0,0,0,0,2,2
113,8,國立中央大學,V,M,1212,    資訊管理學系碩士在職專班,92,57,35,25,15,25,18,3,1,2,0,2,1,0,0,0,0,0,0,2,1
113,8,國立中央大學,V,M,1222,    產業經濟研究所碩士在職專班,71,26,45,10,11,7,22,6,7,3,4,0,1,0,0,0,0,0,0,0,1
113,8,國立中央大學,V,M,1228,    工業管理研究所碩士在職專班,50,30,20,13,7,14,12,1,0,1,0,1,1,0,0,0,0,0,0,1,1
