表4-1  科系別學生人數統計1051(依據105/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
105,8,國立中央大學,D,M,340201,    會計研究所碩士班,32,12,20,5,9,7,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520101,    電機工程學系碩士班,289,252,37,109,13,92,17,45,7,6,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520114,    資訊工程學系碩士班,245,188,57,94,30,74,22,17,5,3,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520126,    通訊工程學系碩士班,109,88,21,36,9,38,9,12,3,2,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,140805,    網路學習科技研究所碩士班,41,24,17,10,8,12,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,520114,    資訊工程學系軟體工程碩士班,20,16,4,10,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,440401,    大氣科學學系大氣物理碩士班,61,39,22,14,11,18,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,440201,    地球科學學系地球物理碩士班,45,29,16,8,8,14,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,440603,    太空科學研究所碩士班,33,25,8,15,4,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,440204,    應用地質研究所碩士班,43,28,15,11,10,11,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,440207,    水文與海洋科學研究所碩士班,27,17,10,4,6,8,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,380103,    法律與政府研究所碩士班,48,20,28,10,4,3,10,6,8,1,6,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,311025,"    客家語文暨社會科學學系
    客家社會文化碩士班",23,5,18,0,7,2,5,1,3,2,3,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,311025,"    客家語文暨社會科學學系
    客家語文碩士班",23,7,16,0,6,4,5,0,1,3,4,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,311025,"    客家語文暨社會科學學系
    客家政治經濟碩士班",26,10,16,2,7,4,6,4,2,0,1,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,420103,    生命科學系碩士班,62,34,28,10,11,16,13,3,3,5,1,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,310510,    認知神經科學研究所碩士班,21,4,17,1,10,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,420604,"    生醫科學與工程學系
    系統生物與生物資訊碩士班",22,14,8,8,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8,國立中央大學,D,M,521108,"    生醫科學與工程學系
    生物醫學工程碩士班",40,29,11,14,7,9,3,5,0,1,1,0,0,0,0,0,0,0,0,0,0
