科系別學生人數統計(依據101/3/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
100,8,國立中央大學,D,M,310101,    經濟學系碩士班,27,18,9,8,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,340201,    會計研究所碩士班,24,9,15,7,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,340310,    英語商業管理碩士學位學程,10,6,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,520101,    電機工程學系碩士班,252,212,40,101,20,95,19,14,1,2,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,520114,    資訊工程學系碩士班,211,164,47,76,29,79,18,5,0,4,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,520126,    通訊工程學系碩士班,102,78,24,35,17,39,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,140805,    網路學習科技研究所碩士班,35,19,16,9,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,480306,    資訊工程學系軟體工程碩士班,21,18,3,9,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,440402,    大氣物理研究所碩士班,52,31,21,16,8,11,12,1,1,3,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,440209,    地球物理研究所碩士班,44,30,14,14,7,14,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,440603,    太空科學研究所碩士班,41,31,10,15,5,13,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,440204,    應用地質研究所碩士班,31,24,7,13,3,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,440207,    水文與海洋科學研究所碩士班,23,17,6,4,0,6,6,4,0,3,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,310723,    客家社會文化研究所碩士班,31,14,17,3,1,4,5,2,5,4,6,1,0,0,0,0,0,0,0,1,0
