日期,標題,連結
2025-02-21-事務組,【交通訊息】114年228連續假期新聞與海報,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/0dc649a4-0901-419f-b76f-69d350bc2fd2
2025-02-12-事務組,【全校性交通】因114年2月14至15日辦理本校114學年度碩士班入學考試_請提前規劃當日上下班時間或進出學校時間,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/b6779e12-9925-46b8-987c-5cc4e2b1e202
2025-02-10-營繕組,【施工公告】114年2月11至4月30日止 X波段天線接收系統基座施工前置作業 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/d25ce5c4-2fca-40c4-9068-12751c62a098
2025-02-10-事務組,【公告】114年校園春天賞花情報,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/6b159449-8583-48d3-8314-a9dd436206fb
2025-02-03-事務組,​【施工公告】114年2月3日起松樹松材線蟲防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/30dcbc27-79fd-44cd-90d4-af7908a9ecf9
2025-01-23-事務組,【9025A春節停駛公告】桃園、台北客運「9025A中壢-松山機場」114年春節時刻（1/27-2/2）停駛,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/80964ebd-329c-471a-9255-306ac1ac63f3
2025-01-16-營繕組,【施工公告】後門中大新村39-42號眷舍及現有機車棚側牆（詳附圖），將於1月20日進行拆除作業，停放車棚側牆旁之機車，敬請車主將其停放他處，拆除當日若未遷移，承商將移至他處，完成後回復，造成不便敬請見諒，謝謝配合！,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/69ce65fb-5f68-4799-90e9-5a821bdbccdc
2025-01-16-事務組,【公告】114/1/17松樹天牛防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/2722eec6-3388-479b-8122-ff52c5507a22
2025-01-16-事務組,114年春節連假交通優惠訊息,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/38c5479c-6117-49bd-9f42-c3c22194cd73
2025-01-09-事務組,【公車訊息】114年農曆春節期間桃園市區公車、幸福巴士及 免費公車路線班次調整,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/7781055d-8af5-4bda-a1ec-8e775fb35c05
2025-01-08-事務組,113學年度中研院學術專車行車路線暨時刻表,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/24f28741-86f6-4254-99a3-a444be88dfc7
2025-01-07-營繕組,【施工公告】114年1月10日至114年1月23日男3舍熱泵安裝工程 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/b7129b08-4ae5-4cf1-ab3f-0e8de518a53b
2025-01-07-營繕組,【施工公告】114年1月7日至114年3月15日 科三館新設實驗室廢水集水井工程 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/fa88144c-c08c-4eb0-bbb1-48f37fa06e46
